Time Temp Unit Luminosity
336 105 1 0.9104
336 105 2 0.7385
336 105 3 0.7912
336 105 4 0.8984
336 105 5 0.8754
336 105 6 0.8949
336 105 7 0.7856
336 105 8 0.8267
336 105 9 0.7953
336 105 10 0.8985
336 105 11 0.8844
336 105 12 0.9382
336 105 13 0.9029
336 105 14 0.8442
336 105 15 0.874
336 105 16 0.8505
336 105 17 0.9508
336 105 18 0.8493
336 105 19 0.6145
336 105 20 0.8559
336 105 21 0.9502
336 105 22 0.8971
336 105 23 0.8144
336 105 24 0.8649
336 105 25 0.794
672 105 1 0.8549
672 105 2 0.6122
672 105 3 0.7257
672 105 4 0.8616
672 105 5 0.8214
672 105 6 0.8067
672 105 7 0.7681
672 105 8 0.7318
672 105 9 0.7409
672 105 10 0.8275
672 105 11 0.8511
672 105 12 0.8322
672 105 13 0.8382
672 105 14 0.717
672 105 15 0.7895
672 105 16 0.794
672 105 17 0.8582
672 105 18 0.7966
672 105 19 0.5373
672 105 20 0.7804
672 105 21 0.8723
672 105 22 0.7984
672 105 23 0.7456
672 105 24 0.803
672 105 25 0.6921
1008 105 1 0.8196
1008 105 2 0.597
1008 105 3 0.6741
1008 105 4 0.8123
1008 105 5 0.7701
1008 105 6 0.7586
1008 105 7 0.7341
1008 105 8 0.6397
1008 105 9 0.6774
1008 105 10 0.7711
1008 105 11 0.8251
1008 105 12 0.8188
1008 105 13 0.8111
1008 105 14 0.6734
1008 105 15 0.7407
1008 105 16 0.7928
1008 105 17 0.8583
1008 105 18 0.7428
1008 105 19 0.4958
1008 105 20 0.7333
1008 105 21 0.8175
1008 105 22 0.7122
1008 105 23 0.6705
1008 105 24 0.789
1008 105 25 0.6009
1344 105 1 0.7986
1344 105 2 0.5503
1344 105 3 0.6302
1344 105 4 0.7894
1344 105 5 0.719
1344 105 6 0.7449
1344 105 7 0.6872
1344 105 8 0.5905
1344 105 9 0.6299
1344 105 10 0.7598
1344 105 11 0.7538
1344 105 12 0.7745
1344 105 13 0.8024
1344 105 14 0.5946
1344 105 15 0.7036
1344 105 16 0.707
1344 105 17 0.8001
1344 105 18 0.7163
1344 105 19 0.5025
1344 105 20 0.6581
1344 105 21 0.8097
1344 105 22 0.6745
1344 105 23 0.6525
1344 105 24 0.7529
1344 105 25 0.5858
1680 105 1 0.7731
1680 105 2 0.4778
1680 105 3 0.5822
1680 105 4 0.7334
1680 105 5 0.7423
1680 105 6 0.6984
1680 105 7 0.6364
1680 105 8 0.5557
1680 105 9 0.6014
1680 105 10 0.7352
1680 105 11 0.7633
1680 105 12 0.7398
1680 105 13 0.7742
1680 105 14 0.5535
1680 105 15 0.683
1680 105 16 0.6747
1680 105 17 0.7899
1680 105 18 0.6666
1680 105 19 0.4421
1680 105 20 0.6449
1680 105 21 0.784
1680 105 22 0.6723
1680 105 23 0.5796
1680 105 24 0.7178
1680 105 25 0.5901
2016 105 1 0.7795
2016 105 2 0.4806
2016 105 3 0.5711
2016 105 4 0.7381
2016 105 5 0.6691
2016 105 6 0.671
2016 105 7 0.646
2016 105 8 0.5136
2016 105 9 0.5775
2016 105 10 0.6577
2016 105 11 0.7779
2016 105 12 0.7342
2016 105 13 0.7243
2016 105 14 0.5023
2016 105 15 0.62
2016 105 16 0.6831
2016 105 17 0.7506
2016 105 18 0.653
2016 105 19 0.4341
2016 105 20 0.5878
2016 105 21 0.7357
2016 105 22 0.618
2016 105 23 0.5267
2016 105 24 0.6906
2016 105 25 0.5289
2352 105 1 0.731
2352 105 2 0.491
2352 105 3 0.5672
2352 105 4 0.6725
2352 105 5 0.6556
2352 105 6 0.637
2352 105 7 0.6013
2352 105 8 0.4839
2352 105 9 0.5478
2352 105 10 0.6235
2352 105 11 0.7187
2352 105 12 0.6712
2352 105 13 0.7229
2352 105 14 0.4847
2352 105 15 0.6149
2352 105 16 0.6554
2352 105 17 0.7327
2352 105 18 0.5959
2352 105 19 0.4132
2352 105 20 0.5416
2352 105 21 0.7231
2352 105 22 0.5937
2352 105 23 0.4844
2352 105 24 0.7052
2352 105 25 0.5178
2688 105 1 0.7287
2688 105 2 0.4485
2688 105 3 0.5304
2688 105 4 0.6534
2688 105 5 0.6257
2688 105 6 0.6232
2688 105 7 0.6038
2688 105 8 0.4414
2688 105 9 0.4922
2688 105 10 0.6204
2688 105 11 0.7078
2688 105 12 0.6561
2688 105 13 0.6894
2688 105 14 0.4741
2688 105 15 0.6079
2688 105 16 0.6525
2688 105 17 0.7074
2688 105 18 0.5728
2688 105 19 0.3794
2688 105 20 0.5313
2688 105 21 0.6817
2688 105 22 0.5902
2688 105 23 0.4736
2688 105 24 0.6907
2688 105 25 0.471
3024 105 1 0.6932
3024 105 2 0.4641
3024 105 3 0.5268
3024 105 4 0.6556
3024 105 5 0.5835
3024 105 6 0.6174
3024 105 7 0.5715
3024 105 8 0.4323
3024 105 9 0.5253
3024 105 10 0.6084
3024 105 11 0.7034
