Time Temp Unit Luminosity
336 65 1 0.9538
336 65 2 0.9746
336 65 3 0.9007
336 65 4 0.9188
336 65 5 0.916
336 65 6 0.9361
336 65 7 0.9206
336 65 8 0.9015
336 65 9 0.9112
336 65 10 0.8681
336 65 11 0.906
336 65 12 0.9176
336 65 13 0.9258
336 65 14 0.9281
336 65 15 0.9472
336 65 16 0.9805
336 65 17 0.9307
336 65 18 0.9736
336 65 19 0.9069
336 65 20 0.9029
336 65 21 0.9696
336 65 22 0.9244
336 65 23 0.9608
336 65 24 0.9175
336 65 25 0.8887
672 65 1 0.8857
672 65 2 0.9047
672 65 3 0.8384
672 65 4 0.9049
672 65 5 0.8673
672 65 6 0.9166
672 65 7 0.8548
672 65 8 0.8415
672 65 9 0.8941
672 65 10 0.833
672 65 11 0.873
672 65 12 0.8979
672 65 13 0.8431
672 65 14 0.8747
672 65 15 0.9134
672 65 16 0.9495
672 65 17 0.9119
672 65 18 0.9178
672 65 19 0.8994
672 65 20 0.8356
672 65 21 0.9159
672 65 22 0.8951
672 65 23 0.9474
672 65 24 0.8975
672 65 25 0.8853
1008 65 1 0.8879
1008 65 2 0.9069
1008 65 3 0.8052
1008 65 4 0.8478
1008 65 5 0.842
1008 65 6 0.8854
1008 65 7 0.8073
1008 65 8 0.8061
1008 65 9 0.8807
1008 65 10 0.7971
1008 65 11 0.8442
1008 65 12 0.8885
1008 65 13 0.8224
1008 65 14 0.82
1008 65 15 0.9101
1008 65 16 0.8727
1008 65 17 0.8924
1008 65 18 0.9454
1008 65 19 0.8854
1008 65 20 0.7955
1008 65 21 0.8919
1008 65 22 0.872
1008 65 23 0.9184
1008 65 24 0.8475
1008 65 25 0.8347
1344 65 1 0.8635
1344 65 2 0.8565
1344 65 3 0.7848
1344 65 4 0.8298
1344 65 5 0.7947
1344 65 6 0.8668
1344 65 7 0.8268
1344 65 8 0.7869
1344 65 9 0.8132
1344 65 10 0.7653
1344 65 11 0.8164
1344 65 12 0.8314
1344 65 13 0.7848
1344 65 14 0.833
1344 65 15 0.9281
1344 65 16 0.8615
1344 65 17 0.8844
1344 65 18 0.8924
1344 65 19 0.8407
1344 65 20 0.7202
1344 65 21 0.8939
1344 65 22 0.8365
1344 65 23 0.9124
1344 65 24 0.8739
1344 65 25 0.7993
1680 65 1 0.835
1680 65 2 0.8756
1680 65 3 0.7602
1680 65 4 0.7993
1680 65 5 0.7484
1680 65 6 0.8797
1680 65 7 0.7538
1680 65 8 0.7553
1680 65 9 0.8032
1680 65 10 0.7253
1680 65 11 0.7788
1680 65 12 0.8411
1680 65 13 0.7827
1680 65 14 0.803
1680 65 15 0.8616
1680 65 16 0.8106
1680 65 17 0.8849
1680 65 18 0.8728
1680 65 19 0.8707
1680 65 20 0.7383
1680 65 21 0.8384
1680 65 22 0.827
1680 65 23 0.9013
1680 65 24 0.8037
1680 65 25 0.7703
2016 65 1 0.8165
2016 65 2 0.8705
2016 65 3 0.7467
2016 65 4 0.8238
2016 65 5 0.7784
2016 65 6 0.8586
2016 65 7 0.7376
2016 65 8 0.728
2016 65 9 0.7617
2016 65 10 0.722
2016 65 11 0.7566
2016 65 12 0.8232
2016 65 13 0.7528
2016 65 14 0.7785
2016 65 15 0.8798
2016 65 16 0.8191
2016 65 17 0.8341
2016 65 18 0.8642
2016 65 19 0.8501
2016 65 20 0.7216
2016 65 21 0.8568
2016 65 22 0.7967
2016 65 23 0.891
2016 65 24 0.7845
2016 65 25 0.7922
2352 65 1 0.8034
2352 65 2 0.8514
2352 65 3 0.7382
2352 65 4 0.7612
2352 65 5 0.7621
2352 65 6 0.8136
2352 65 7 0.72
2352 65 8 0.7525
2352 65 9 0.7555
2352 65 10 0.6975
2352 65 11 0.7341
2352 65 12 0.8285
2352 65 13 0.7314
2352 65 14 0.7393
2352 65 15 0.868
2352 65 16 0.8308
2352 65 17 0.818
2352 65 18 0.8584
2352 65 19 0.8293
2352 65 20 0.6717
2352 65 21 0.8067
2352 65 22 0.7658
2352 65 23 0.8973
2352 65 24 0.789
2352 65 25 0.7174
2688 65 1 0.7824
2688 65 2 0.8491
2688 65 3 0.7196
2688 65 4 0.7867
2688 65 5 0.7083
2688 65 6 0.7988
2688 65 7 0.7069
2688 65 8 0.7047
